﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1NCAKlp1bFHYbSSDQxfbJ1","Even The Darkness Has Arms","The Barr Brothers","Sleeping Operator","1","4","230520","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:5fVZC9GiM4e8vu99W0Xf6J","How to Save a Life","The Fray","How To Save A Life","1","3","262533","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:5Z1U0knfYnsfvZycgDeOiC","Big Jet Plane","Angus & Julia Stone","Down The Way","1","4","239146","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2CzWeyC9zlDpIOZPUUKrBW","1234","Feist","The Reminder","1","9","183666","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:53QF56cjZA9RTuuMZDrSA6","I Won't Give Up","Jason Mraz","Love Is A Four Letter Word (Deluxe)","1","4","240165","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:7D0RhFcb3CrfPuTJ0obrod","Sparks","Coldplay","Parachutes","1","4","227093","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2dFjeuAs19gRJaFCDnqBiM","Reminder","Mumford & Sons","Babel (Deluxe Version)","1","8","124520","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:4fbvXwMTXPWaFyaMWUm9CR","Holocene","Bon Iver","Bon Iver","1","3","336613","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0ByKWq0hsuYriK5avSMJ5r","Crosses","José González","Veneer","1","5","162920","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0HLWvLKQWpFdPhgk6ym58n","Who Says","John Mayer","Battle Studies","1","4","175480","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:7FCYixd46BlSiO2memrsPo","Older Chests","Damien Rice","O","1","5","282066","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:7EYPvIQxkRndpA9o2JmUkF","Guiding Light","Foy Vance, Ed Sheeran","Joy Of Nothing","1","10","352240","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2FL7TC4SZlGZ5GHcFcnHJV","The Spark - Bonus Track","Joshua Hyslop","The Spark","1","1","201933","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:4JKHACLkotsxdKNF9vJYOS","Nothing Arrived - Live from Spotify London","Villagers","Spotify Sessions","1","2","219093","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:7IByJvSqRFltGyiiIiL4wn","Who You Love","John Mayer, Katy Perry","Paradise Valley","1","6","249933","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:5rwq6R0Uq0BngM3rdmCeNg","Collide - Acoustic Version","Howie Day","Stop All The World Now (SPECIAL EDITION VERSION)","1","15","277000","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:38YgZVHPWOWsKrsCXz6JyP","Come On Get Higher","Matt Nathanson","Some Mad Hope","1","2","215173","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3WKg25vrbjJlkhsgl2W4p3","Bright","Echosmith","Talking Dreams (Deluxe Version)","1","6","220626","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2ocm1FEjPuBHW60QvjRojZ","Volcano","Emily Hearn","Hourglass","1","7","174853","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:5A1u2GMvgMOMECWuYRBNc1","Be the Song","Foy Vance","Melrose EP","1","1","393493","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:08YEGpKt2LHJ0URCXKHEie","9 Crimes","Damien Rice","9","1","1","217946","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2iddHfAqBKMJkXerLA9F9I","Bones","Dustin Tebbutt","Bones EP","1","1","265098","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0BahRq8ZRCnlg40YfrVIvL","Here I Dreamt I Was an Architect","The Decemberists","Castaways and Cutouts","1","2","269146","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:5mVDhLnXTHlBWJnMHXa9Qs","Halo","Lotte Kestner","The Bluebird of Happiness","1","7","269920","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3LHg768dEKqJKht2uPTlVR","Ghosts","Laura Marling","Alas I Cannot Swim","1","1","179960","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:1ODA4mZMaoBzT1TbPBW8B1","Shiver","Lucy Rose","Like I Used To (Deluxe Edition)","1","4","233013","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:5WXoxLVNn7Bxrn0Q2RHfka","One More Chance","Ira Wolf","Honest","1","5","253946","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:40ttk439NA9RvbLBJpJU1M","Southern Sun","Boy & Bear","Harlequin Dream","1","1","281100","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:7cpCU3Denug5NGZsSpQl8v","XO","John Mayer","XO","1","1","213626","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0xCA70t1ZA4fa9UOE0lIJm","I'm A Mess","Ed Sheeran","x (Deluxe Edition)","1","2","244573","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:7fdPcyE4xzQlm0Fkf0JERy","Lou Lou","Albin Lee Meldau","Lou Lou","1","1","124720","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:5gqcOwKXxGTth8CUfN8woT","Brave","Riley Pearce","Outside The Lines","1","1","247793","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3YnDHJtHeT26CEvhdPa3y2","Okkervil River","Ciaran Lavery","Okkervil River","1","1","200373","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:7HRP6TJQRk5rmRzbancWEo","Love Is War - Radio Mix","American Young","AY","1","3","184440","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2Rd6MWkSlWiZdmdBYAOQgP","You Say","Dori Freeman","Dori Freeman","1","1","174018","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3LcrBMmEejUO09Lrmyixzb","Devil In Me","Anderson East","Delilah","1","4","221280","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0ZWSpn7UgqAp4exbKEUD5g","Wild World - Acoustic Version","Joanna Wang","為愛做的一切","1","9","225053","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:6HHJxsLsk7clcPOaNEZfqW","All Time Low - Acoustic","Jon Bellion","All Time Low (Acoustic)","1","1","222702","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3Ycz5kztX54LUuKhM3ZDBK","Cassidy","Brett Dennen","Cassidy","1","1","268440","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:6GmUVqe73u5YRfUUynZK6I","Let Her Go","Passenger","All the Little Lights","1","2","252733","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:34gCuhDGsG4bRPIf9bb02f","Thinking Out Loud","Ed Sheeran","x (Deluxe Edition)","1","11","281560","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:18ycL9Q5zLDeY9M2Lr3Ozw","Mykonos","Fleet Foxes","Sun Giant","1","4","275306","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3eeIdvZqXaffY0yVRgbGfQ","Shape of Love (feat. Boy & Bear)","Passenger, Boy & Bear","Flight of the Crow","1","3","188453","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:4siFdX3QLfjtzg1HHgCPW7","Wonderwall","Ryan Adams","Love Is Hell","1","6","248280","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:4BwH8CqZkep7evUpHbAvEm","Things Happen","Dawes","All Your Favorite Bands","1","1","243320","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:1ZYdtiTZYuAnSu3861L5Rg","Wilder","Ciaran Lavery","Let Bad In","1","8","231906","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:40WXqoyOLAAugGmJWZU1FY","All The Time","Bahamas","Bahamas is Afie","1","4","234973","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:5397UpyFdp4FSPE8xAZHHx","I Sing I Swim","Seabear","The Ghost That Carried Us Away","1","6","219853","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2gUSIsapdX6jEJ0DvjqTt2","Naked As We Came","Iron & Wine","Our Endless Numbered Days","1","2","152626","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2efsbqD6ORqFmYKtLXJEn1","Lost In My Mind","The Head and the Heart","The Head And The Heart","1","7","259120","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:6nXh9HQbFnOVPuEJiCUzfc","Shovels & Dirt","The Strumbellas","Hope","1","2","241986","spotify:user:spotify","2016-11-18T06:03:13Z"
